Representation,Feature_Selection,Top_K,Model,Accuracy,Precision,Recall,F1_score,ROC_AUC,Log_Loss,Training_Time
BoW,Chi-square,1500,Random Forest,0.8845553822152886,0.8939712583245706,0.8752573781743308,0.884515345933761,0.9556272815455793,0.309247318763373,38.91617131233215
BoW,Chi-square,1500,LinearSVC,0.8724215635292079,0.9039317507418397,0.8363074811256005,0.8688057040998217,0.9643821811966387,0.23161583554803672,31.22591733932495
BoW,Mutual Information,20,Logistic Regression,0.8004853527474433,0.9124941506785212,0.6691832532601235,0.7721243318154821,0.9088272900797767,0.3672273021913114,0.28315114974975586
BoW,Mutual Information,20,Random Forest,0.8196394522447564,0.7661599659042477,0.9253603294440631,0.8382684386414859,0.9236595450190938,0.4019715784400622,2.192519426345825
BoW,Mutual Information,20,LinearSVC,0.7997919916796672,0.911943793911007,0.6681537405628003,0.7712418300653595,0.9080674760531621,0.36744080286199376,0.38146114349365234
BoW,Mutual Information,40,Logistic Regression,0.8242329693187728,0.9110774556469061,0.7225463280713795,0.805933014354067,0.9293889664846439,0.3258359325472599,0.42355942726135254
BoW,Mutual Information,40,Random Forest,0.8424336973478939,0.920511744966443,0.7530885380919699,0.8284258210645526,0.9451398496538842,0.3324524171066047,3.483272075653076
BoW,Mutual Information,40,LinearSVC,0.8224128965158606,0.9112078346028292,0.7184282772820865,0.803415523361796,0.928773632815552,0.3251424902019529,0.5817818641662598
BoW,Mutual Information,100,Logistic Regression,0.8428670480152539,0.9097775056133904,0.7647563486616334,0.8309872284888599,0.9455237833660077,0.2832173508234953,0.3683497905731201
BoW,Mutual Information,100,Random Forest,0.8696481192581037,0.8245271690183128,0.9425188743994509,0.8795836669335468,0.9586956560934772,0.277165215949258,5.753574371337891
BoW,Mutual Information,100,LinearSVC,0.84269370774831,0.9141382868937048,0.7599519560741249,0.8299447203223086,0.9455821404488507,0.28240345875713513,1.0976066589355469
BoW,Mutual Information,200,Logistic Regression,0.8511007106950945,0.8996499416569428,0.7937542896362388,0.8433910665451231,0.9518789508225883,0.2603445916452414,1.3449053764343262
BoW,Mutual Information,200,Random Forest,0.8777084416710002,0.8661913447189521,0.8963623884694578,0.8810186356353824,0.9607010422538935,0.27530572250963337,9.283386468887329
BoW,Mutual Information,200,LinearSVC,0.8491939677587104,0.9010989010989011,0.787920384351407,0.8407176858293666,0.9518155152912384,0.2597741541328943,2.258589029312134
BoW,Mutual Information,400,Logistic Regression,0.8576009707054949,0.9004784688995215,0.8073095401509952,0.8513525739618203,0.9583642046909236,0.23959119673648313,1.3870124816894531
BoW,Mutual Information,400,Random Forest,0.8797885248743283,0.8769309115600068,0.8864104323953329,0.8816451915692465,0.958652354056208,0.2884541059492027,12.397138833999634
BoW,Mutual Information,400,LinearSVC,0.8583810019067429,0.9081354612689763,0.800617707618394,0.8509939813970454,0.9587697593716907,0.23950036211775097,2.183854103088379
BoW,Mutual Information,600,Logistic Regression,0.8634945397815913,0.8982955609664731,0.8229238160603981,0.8589594340467449,0.9614766625758613,0.23134416554305706,1.3333814144134521
BoW,Mutual Information,600,Random Forest,0.8830819899462645,0.8814512008175779,0.8879547014413178,0.8846909992307035,0.9587690531968983,0.3070795585489226,15.148380517959595
BoW,Mutual Information,600,LinearSVC,0.8645345813832553,0.9065776930409915,0.8158888126286891,0.8588458412354375,0.9614621183801372,0.23334295690221846,2.4507956504821777
BoW,Mutual Information,1000,Logistic Regression,0.8678280464551915,0.8921086203754328,0.839910775566232,0.8652231551038444,0.9635447931178308,0.22651490041175065,1.0115690231323242
BoW,Mutual Information,1000,Random Forest,0.8836886808805685,0.8899513212795549,0.8783459162663007,0.8841105354058721,0.9576588863232876,0.29250535922511084,19.523443460464478
BoW,Mutual Information,1000,LinearSVC,0.8680880568556075,0.9045471627207816,0.8260123541523678,0.8634977578475337,0.963306316387943,0.22925305346205382,3.121567726135254
BoW,Mutual Information,1500,Logistic Regression,0.8720748829953198,0.8885714285714286,0.853809196980096,0.8708435421771089,0.9649892511181603,0.22984358069014088,0.9457712173461914
BoW,Mutual Information,1500,Random Forest,0.8816085976772404,0.8894902234636871,0.8742278654770076,0.8817930079612323,0.9572500111184968,0.29349846671195806,21.38200092315674
BoW,Mutual Information,1500,LinearSVC,0.8723348933957358,0.9015305181633783,0.8388812628689087,0.8690783041507422,0.9647364405424864,0.2303592628725211,15.374890089035034
BoW,Fisher,20,Logistic Regression,0.8024787658172994,0.9180212014134276,0.6686684969114619,0.7737516132234686,0.9078901210053044,0.36935193302091307,0.16879057884216309
BoW,Fisher,20,Random Forest,0.8058589010227076,0.9183768656716418,0.675703500343171,0.77856860419138,0.913336456529082,0.39690285884314663,1.810575246810913
BoW,Fisher,20,LinearSVC,0.8029121164846594,0.9212897107633949,0.6667810569663692,0.7736412502488552,0.9079257602948265,0.3693165364786957,0.35960888862609863
BoW,Fisher,40,Logistic Regression,0.8250130005200208,0.9084280506111945,0.7268359643102265,0.8075493279954247,0.9303264060090366,0.32283956718555457,0.20855259895324707
BoW,Fisher,40,Random Forest,0.84269370774831,0.9212681083350829,0.7529169526424159,0.8286280804456614,0.9448613613607598,0.3175291922564418,3.2785305976867676
BoW,Fisher,40,LinearSVC,0.8245796498526607,0.9097371822490306,0.7246053534660261,0.8066857688634193,0.9296720073514299,0.3223291895977649,0.48151588439941406
BoW,Fisher,100,Logistic Regression,0.8344600450684694,0.8968800648298217,0.7596087851750172,0.8225566703827574,0.9411577750746142,0.2921479569831772,0.27588391304016113
BoW,Fisher,100,Random Forest,0.8640145605824233,0.8205629986451904,0.935312285518188,0.8741881164301178,0.9564998882140329,0.28160993927326844,5.52725625038147
BoW,Fisher,100,LinearSVC,0.8360201074709656,0.9041067761806981,0.7554907343857241,0.8231445129930828,0.9409162332456273,0.2917745988609884,0.7971651554107666
BoW,Fisher,200,Logistic Regression,0.844340440284278,0.8949843260188087,0.7838023335621139,0.8357116721551409,0.948937747837302,0.2667793946402597,0.3613886833190918
BoW,Fisher,200,Random Forest,0.8719882128618478,0.8418984755618419,0.9191832532601235,0.8788450496267739,0.9582431032265277,0.2872478196226764,9.257663011550903
BoW,Fisher,200,LinearSVC,0.843300398682614,0.8966061562746646,0.7796842827728209,0.8340675477239354,0.9489751300263117,0.26583950029305103,1.3433923721313477
